#          time             e1r
            100           16.32
          100.2           16.32
          100.4           16.32
          100.6           16.32
          100.8           16.32
            101           16.32
          101.2           16.32
          101.4           16.32
          101.6           16.32
          101.8           16.32
            102           16.32
          102.2           16.32
          102.4           16.32
          102.6           16.32
          102.8           16.32
            103           16.32
          103.2           16.32
          103.4           16.32
          103.6           16.32
          103.8           16.32
            104           16.32
          104.2           16.32
          104.4           16.32
          104.6           16.32
          104.8           16.32
            105           16.32
          105.2           16.32
          105.4           16.32
          105.6           16.32
          105.8           16.32
            106           16.32
          106.2           16.32
          106.4           16.32
          106.6           16.32
          106.8           16.32
            107           16.32
          107.2           16.32
          107.4           16.32
          107.6           16.32
          107.8           16.32
            108           16.32
          108.2           16.32
          108.4           16.32
          108.6           16.32
          108.8           16.32
            109           16.32
          109.2           16.32
          109.4           16.32
          109.6           16.32
          109.8           16.32
            110           16.32
          110.2           16.32
          110.4           16.32
          110.6           16.32
          110.8           16.32
            111           16.32
          111.2           16.32
          111.4           16.32
          111.6           16.32
          111.8           16.32
            112           16.32
          112.2           16.32
          112.4           16.32
          112.6           16.32
          112.8           16.32
            113           16.32
          113.2           16.32
          113.4           16.32
          113.6           16.32
          113.8           16.32
            114           16.32
          114.2           16.32
          114.4           16.32
          114.6           16.32
          114.8           16.32
            115           16.32
          115.2           16.32
          115.4           16.32
          115.6           16.32
          115.8           16.32
            116           16.32
          116.2           16.32
          116.4           16.32
          116.6           16.32
          116.8           16.32
            117           16.32
          117.2           16.32
          117.4           16.32
          117.6           16.32
          117.8           16.32
            118           16.32
          118.2           16.32
          118.4           16.32
          118.6           16.32
          118.8           16.32
            119           16.32
          119.2           16.32
          119.4           16.32
          119.6           16.32
          119.8           16.32
            120           16.32
          120.2           16.32
          120.4           16.32
          120.6           16.32
          120.8           16.32
            121           16.32
          121.2           16.32
          121.4           16.32
          121.6           16.32
          121.8           16.32
            122           16.32
          122.2           16.32
          122.4           16.32
          122.6           16.32
          122.8           16.32
            123           16.32
          123.2           16.32
          123.4           16.32
          123.6           16.32
          123.8           16.32
            124           16.32
          124.2           16.32
