#          time              e2
            100               0
          100.2               0
          100.4               0
          100.6               0
          100.8               0
            101               0
          101.2               0
          101.4               0
          101.6               0
          101.8               0
            102               0
          102.2               0
          102.4               0
          102.6               0
          102.8               0
            103               0
          103.2               0
          103.4               0
          103.6               0
          103.8               0
            104               0
          104.2               0
          104.4               0
          104.6               0
          104.8               0
            105               0
          105.2               0
          105.4               0
          105.6               0
          105.8               0
            106               0
          106.2               0
          106.4               0
          106.6               0
          106.8               0
            107               0
          107.2               0
          107.4               0
          107.6               0
          107.8               0
            108               0
          108.2               0
          108.4               0
          108.6               0
          108.8               0
            109               0
          109.2               0
          109.4               0
          109.6               0
          109.8               0
            110               0
          110.2               0
          110.4               0
          110.6               0
          110.8               0
            111               0
          111.2               0
          111.4               0
          111.6               0
          111.8               0
            112               0
          112.2               0
          112.4               0
          112.6               0
          112.8               0
            113               0
          113.2               0
          113.4               0
          113.6               0
          113.8               0
            114               0
          114.2               0
          114.4               0
          114.6               0
          114.8               0
            115               0
          115.2               0
          115.4               0
          115.6               0
          115.8               0
            116               0
          116.2               0
          116.4               0
          116.6               0
          116.8               0
            117               0
          117.2               0
          117.4               0
          117.6               0
          117.8               0
            118               0
          118.2               0
          118.4               0
          118.6               0
          118.8               0
            119               0
          119.2               0
          119.4               0
          119.6               0
          119.8               0
            120               0
          120.2               0
          120.4               0
          120.6               0
          120.8               0
            121               0
          121.2               0
          121.4               0
          121.6               0
          121.8               0
            122               0
          122.2               0
          122.4               0
          122.6               0
          122.8               0
            123               0
          123.2               0
          123.4               0
          123.6               0
          123.8               0
            124               0
          124.2               0
          124.4               0
          124.6               0
          124.8               0
            125               0
          125.2               0
          125.4               0
          125.6               0
          125.8               0
            126               0
          126.2               0
          126.4               0
          126.6               0
          126.8               0
            127               0
          127.2               0
          127.4               0
          127.6               0
          127.8               0
            128               0
          128.2               0
          128.4               0
          128.6               0
          128.8               0
            129               0
          129.2               0
          129.4               0
          129.6               0
          129.8               0
            130               0
          130.2               0
          130.4               0
          130.6               0
          130.8               0
            131               0
          131.2               0
          131.4               0
          131.6               0
          131.8               0
            132               0
          132.2               0
          132.4               0
          132.6               0
          132.8               0
            133               0
          133.2               0
          133.4               0
          133.6               0
          133.8               0
            134               0
          134.2               0
          134.4               0
          134.6               0
          134.8               0
            135               0
          135.2               0
          135.4               0
          135.6               0
          135.8               0
            136               0
          136.2               0
          136.4               0
          136.6               0
          136.8               0
            137               0
          137.2               0
          137.4               0
          137.6               0
          137.8               0
            138               0
          138.2               0
          138.4               0
          138.6               0
          138.8               0
            139               0
          139.2               0
          139.4               0
          139.6               0
          139.8               0
            140               0
          140.2               0
          140.4               0
          140.6               0
          140.8               0
            141               0
          141.2               0
          141.4               0
          141.6               0
          141.8               0
            142               0
          142.2               0
          142.4               0
          142.6               0
          142.8               0
            143               0
          143.2               0
          143.4               0
          143.6               0
          143.8               0
            144               0
          144.2               0
          144.4               0
          144.6               0
          144.8               0
            145               0
          145.2               0
          145.4               0
          145.6               0
          145.8               0
            146               0
          146.2               0
          146.4               0
          146.6               0
          146.8               0
            147               0
          147.2               0
          147.4               0
          147.6               0
          147.8               0
            148               0
          148.2               0
          148.4               0
          148.6               0
          148.8               0
            149               0
          149.2               0
          149.4               0
          149.6               0
          149.8               0
            150               0
          150.2               0
          150.4               0
          150.6               0
          150.8               0
            151               0
          151.2               0
          151.4               0
          151.6               0
          151.8               0
            152               0
          152.2               0
          152.4               0
          152.6               0
          152.8               0
            153               0
          153.2               0
          153.4               0
          153.6               0
          153.8               0
            154               0
          154.2               0
          154.4               0
          154.6               0
          154.8               0
            155               0
