#          time          eds_vr
            100     -91.0928413
          100.2     -96.0195761
          100.4     -90.6616903
          100.6     -95.8852484
          100.8     -92.6534236
            101     -93.8360377
          101.2     -97.4949727
          101.4     -96.5845546
          101.6       -94.81833
          101.8     -94.4145925
            102      -96.495042
          102.2     -96.8543591
          102.4     -93.4064576
          102.6     -96.2050675
          102.8     -92.8199134
            103     -94.2729206
          103.2     -87.7178777
          103.4     -90.8766302
          103.6     -89.7766299
          103.8     -93.2824301
            104     -90.6929597
          104.2     -96.0248081
          104.4      -92.146474
          104.6     -92.0469918
          104.8     -92.4472234
            105     -94.2283064
          105.2     -96.8980218
          105.4     -89.3925558
          105.6     -91.7611372
          105.8     -96.1079631
            106     -96.3283846
          106.2     -95.8893104
          106.4     -94.3718823
          106.6     -95.5715834
          106.8     -91.5291306
            107     -94.5173174
          107.2     -93.8220435
          107.4       -97.07645
          107.6     -95.9452193
          107.8     -95.5210396
            108     -94.2593517
          108.2     -91.8025645
          108.4     -90.2282105
          108.6     -88.5758523
          108.8     -90.4490947
            109      -92.573276
          109.2      -89.219212
          109.4      -91.617829
          109.6     -86.5120753
          109.8     -92.2797621
            110      -91.415935
          110.2     -93.3112233
          110.4     -94.6037967
          110.6     -94.1763461
          110.8     -96.3613892
            111     -96.5988849
          111.2     -93.5177337
          111.4     -97.0211132
          111.6     -95.0931279
          111.8     -94.9534155
            112     -93.5970247
          112.2     -95.1528178
          112.4     -92.9268142
          112.6     -91.4520192
          112.8     -90.4703259
            113     -92.3890843
          113.2     -91.4003084
          113.4     -92.1717252
          113.6     -95.3183023
          113.8     -97.7599193
            114     -95.1689321
          114.2     -97.4417032
          114.4     -92.1850672
          114.6     -92.2801213
          114.8     -96.0694991
            115     -96.1302851
          115.2     -92.8545221
          115.4      -95.865103
          115.6     -94.2941761
          115.8     -93.9691707
            116     -94.4849058
          116.2     -90.7124704
          116.4     -93.4867487
          116.6     -92.4380858
          116.8     -87.8090345
            117     -95.8648441
          117.2     -91.0501834
          117.4     -93.6197823
          117.6     -93.7801711
          117.8     -93.5920938
            118     -96.4206068
          118.2     -96.1243105
          118.4     -93.3972444
          118.6     -91.3844085
          118.8      -86.176381
            119     -88.2734709
          119.2     -91.8757657
          119.4     -88.1801103
          119.6     -86.0174162
          119.8     -90.9918196
            120     -87.8162232
          120.2     -85.3801761
          120.4     -85.8984908
          120.6     -87.7992858
          120.8     -85.0562751
            121     -86.8177977
          121.2     -91.3445469
          121.4     -87.8062529
          121.6     -84.6609896
          121.8     -91.7599623
            122     -89.9722064
          122.2     -92.6186227
          122.4     -85.8485775
          122.6     -92.1396884
          122.8     -92.8188165
            123      -92.966813
          123.2     -97.9798088
          123.4     -96.6539142
          123.6     -89.7325513
          123.8     -89.6542637
            124     -92.2782312
          124.2     -89.1939107
          124.4     -88.8555322
