#          time          pressu
              0      122.695778
           0.02      14.4884763
           0.04      15.9149426
           0.06      34.8833181
           0.08      137.989654
            0.1      199.438354
           0.12      119.941228
           0.14     -189.171945
           0.16     -61.8799392
           0.18     -39.5780188
            0.2     -31.9001376
           0.22      91.9201496
           0.24      549.431768
           0.26      345.236634
           0.28      487.240173
            0.3      294.976273
           0.32      181.963997
           0.34      26.5114903
           0.36     -130.112216
           0.38     -217.570713
            0.4     -475.641669
           0.42     -102.318447
           0.44      58.1483618
           0.46      216.689454
           0.48      419.430411
            0.5      207.707179
           0.52      386.363317
           0.54      420.314608
           0.56      167.963361
           0.58      225.200219
            0.6       347.66099
           0.62     -51.1850154
           0.64       290.70836
           0.66      408.909612
           0.68      403.659656
            0.7      141.501895
           0.72      220.336744
           0.74      229.593593
           0.76      129.657445
           0.78     -198.627012
            0.8     -64.0852166
           0.82     -419.411729
           0.84     -374.410256
           0.86     -434.329221
           0.88     -160.265792
            0.9     -69.2731141
           0.92      267.955015
           0.94      53.3366667
           0.96      146.876992
           0.98      36.5619979
              1       21.237545
           1.02      316.958302
           1.04      257.372616
           1.06      34.7768477
           1.08     -17.7282624
            1.1     -124.404902
           1.12      20.9693253
           1.14      280.151914
           1.16      526.897325
           1.18        354.3888
            1.2     -9.08105461
           1.22      -350.60303
           1.24     -274.367892
           1.26     -208.240086
           1.28     -109.010621
            1.3      54.8642452
           1.32       437.89988
           1.34      601.232476
           1.36      720.422924
           1.38      358.005848
            1.4      331.300303
           1.42      441.273385
           1.44     -79.5288645
           1.46     -194.505238
           1.48     -307.923922
            1.5     -765.200923
           1.52     -438.322035
           1.54     -146.880195
           1.56      48.6874611
           1.58       174.71648
            1.6      24.8350584
           1.62      98.4314538
           1.64      196.722209
           1.66      388.971447
           1.68      130.882621
            1.7     -35.9541731
           1.72      58.0619471
           1.74      342.364182
           1.76       438.56942
           1.78      136.875772
            1.8     -346.982148
           1.82     -342.689988
           1.84     -462.849296
           1.86     -481.159453
           1.88     -365.474072
            1.9      -160.04941
           1.92     -257.835798
           1.94      10.4466556
           1.96      94.0319227
           1.98      106.560594
              2      214.180573
           2.02      355.246846
           2.04      76.0623636
           2.06      124.194202
           2.08      46.2337381
            2.1     -304.801301
           2.12     -288.456734
           2.14      31.3328146
           2.16     -98.1661817
           2.18     -19.7876016
            2.2     -358.620771
           2.22     -688.121569
           2.24     -531.257608
           2.26     -269.597584
           2.28     -622.558177
            2.3     -556.987791
           2.32      -533.42034
           2.34     -250.130317
           2.36     -205.788096
           2.38     -245.226778
            2.4     -37.4517164
           2.42      160.517374
           2.44     -49.6032926
           2.46     -389.119217
           2.48     -240.497111
            2.5      169.976769
           2.52      221.385737
           2.54      160.661964
           2.56      337.776662
           2.58       349.36131
            2.6      254.023141
           2.62      169.444213
           2.64      238.185799
           2.66      186.194174
           2.68      231.207094
            2.7      406.589477
           2.72      166.160278
           2.74      168.792549
           2.76      -18.542557
           2.78     -206.264202
            2.8      -237.14331
           2.82     -452.756219
           2.84      -107.55428
           2.86     -444.925312
           2.88     -307.838988
            2.9     -273.665747
           2.92     -84.3043783
           2.94      248.507386
           2.96     -4.15855279
           2.98      192.133099
              3      373.687281
           3.02      342.141449
           3.04      153.993175
           3.06      408.556188
           3.08       476.45323
            3.1      199.643136
           3.12      483.227468
           3.14      933.862047
           3.16      1099.86795
           3.18      1048.58753
            3.2      485.718285
           3.22      255.957893
           3.24      223.255333
           3.26      145.337216
           3.28     -122.740495
            3.3     -346.688815
           3.32     -553.590008
           3.34      -572.01882
           3.36     -455.265785
           3.38     -472.720761
            3.4      7.05146022
           3.42     -67.0288479
           3.44     -200.006924
           3.46     -200.641361
           3.48     -240.412709
            3.5     -364.742352
           3.52     -138.033145
           3.54      13.9146619
           3.56      72.5063486
           3.58       158.35601
            3.6     -221.956189
           3.62     -40.9367989
           3.64     -89.2729537
           3.66      31.3315685
           3.68      291.257316
            3.7      321.512569
           3.72      189.725281
           3.74      79.0819808
           3.76      5.84122489
           3.78      273.857024
            3.8       80.093882
           3.82      138.592142
           3.84      480.500709
           3.86      689.191183
           3.88      930.155598
            3.9       407.30866
           3.92      347.110934
           3.94      353.397011
           3.96       70.992895
           3.98      106.314104
              4     -71.2745036
           4.02     -315.662291
           4.04     -58.9162016
           4.06      222.307188
           4.08      6.00933046
            4.1      89.3260748
           4.12      125.362056
           4.14       48.722336
           4.16      84.8819376
           4.18      73.3678195
            4.2      38.8201935
           4.22     -135.004781
           4.24      101.687924
           4.26     -38.1174213
           4.28      -225.26238
            4.3      -263.20036
           4.32      42.7344098
           4.34      457.814941
           4.36      99.2386894
           4.38       57.131458
            4.4      103.452945
           4.42      168.932807
           4.44     -133.095939
           4.46       18.112844
           4.48      292.695434
            4.5      132.882145
           4.52      130.393658
           4.54     -119.457889
           4.56     -140.692607
           4.58     -25.1107112
            4.6     -113.222554
           4.62      -108.55836
           4.64     -50.7918332
           4.66      198.252663
           4.68      331.881246
            4.7      166.277667
           4.72      320.608303
           4.74      351.833962
           4.76      155.994122
           4.78     -29.3859524
            4.8     -4.63028409
           4.82     -447.484175
           4.84     -206.576988
           4.86      34.2209966
           4.88     -8.48628012
            4.9     -240.778537
           4.92     -248.468484
           4.94     -454.773065
           4.96     -366.777271
           4.98     -139.908832
              5      101.521219
           5.02      108.750392
           5.04      268.029747
           5.06      442.568875
           5.08       268.71861
            5.1       199.85405
           5.12      11.5549002
           5.14      123.593336
           5.16      -56.966322
           5.18     -32.9621344
            5.2      231.165712
           5.22      97.3672498
           5.24     -173.893046
           5.26     -350.424925
           5.28     -15.9533578
            5.3       222.09972
           5.32      26.3821845
           5.34        147.7935
           5.36     -78.3726126
           5.38     -111.860495
            5.4      80.5621127
           5.42     -195.870552
           5.44      137.110096
           5.46      254.941739
           5.48      603.985514
            5.5      393.657283
           5.52      -83.828962
           5.54     -32.2347064
           5.56      31.5933792
           5.58     -208.692105
            5.6     -137.919416
           5.62     -97.9616465
           5.64      44.2370331
           5.66       298.31333
           5.68      206.368445
            5.7     -115.731905
           5.72       21.210092
           5.74      180.258016
           5.76      123.467556
           5.78      88.5461857
            5.8      468.605747
           5.82      173.558382
           5.84      98.9296861
           5.86      332.263346
           5.88      161.488751
            5.9     -77.7786827
           5.92      87.6804852
           5.94      8.32426609
           5.96      9.83446182
           5.98      106.506218
              6     -366.407576
           6.02      -478.88872
           6.04     -474.980463
           6.06      -549.72431
           6.08     -286.564355
            6.1      -502.93732
           6.12     -220.346207
           6.14     -354.758188
           6.16      81.7024641
           6.18      72.5877172
            6.2      48.0385135
           6.22      193.255182
           6.24     -101.437382
           6.26     -189.092248
           6.28     -151.777699
            6.3     -137.972265
           6.32     -81.3259997
           6.34     -240.932727
           6.36     0.505431487
           6.38     -220.657426
            6.4     -254.883233
           6.42      -154.36761
           6.44      28.4438399
           6.46       69.867771
           6.48      49.3850603
            6.5     -91.8897406
           6.52     -251.151465
           6.54     -138.272608
           6.56       72.590694
           6.58      118.440815
            6.6        43.09986
           6.62     -141.322025
           6.64     -5.03441592
           6.66      234.629936
           6.68      186.277027
            6.7      239.952753
           6.72     -25.1682541
           6.74     -178.078928
           6.76     -422.531983
           6.78     -458.609078
            6.8      -64.653148
           6.82     -156.425798
           6.84      61.8111415
           6.86      166.987241
           6.88      476.383457
            6.9      285.930932
           6.92      219.312487
           6.94      396.255696
           6.96      371.782943
           6.98       105.81363
              7       182.46753
           7.02      266.395271
           7.04      273.714757
           7.06      167.660964
           7.08      270.668722
            7.1     -187.254601
           7.12     -310.058266
           7.14     -469.907647
           7.16     -640.994835
           7.18     -655.861808
            7.2     -676.789363
           7.22     -480.616446
           7.24     -290.656246
           7.26     -165.066104
           7.28      142.565488
            7.3     -122.271961
           7.32     -92.3729456
           7.34      265.243727
           7.36      165.704791
           7.38     -56.7995713
            7.4      8.76683184
           7.42      -57.783827
           7.44     -277.872442
           7.46     -312.903036
           7.48     -458.672448
            7.5     -471.032926
           7.52     -236.907185
           7.54      40.1593868
           7.56     -215.290102
           7.58      8.68017333
            7.6     -29.2059724
           7.62     -49.9738738
           7.64     -8.20051548
           7.66     -152.620792
           7.68      159.597094
            7.7    -0.301461191
           7.72      275.592821
           7.74       349.33938
           7.76      362.459283
           7.78      345.618079
            7.8      353.987428
           7.82      47.4754737
           7.84      230.921807
           7.86     -122.458495
           7.88     -7.17307875
            7.9     -130.945386
           7.92     -185.445264
           7.94      7.41062329
           7.96      26.1145786
           7.98      226.765784
              8     -10.2933665
           8.02      319.292072
           8.04      494.320007
           8.06      453.215006
           8.08     -95.7385518
            8.1     -22.8985253
           8.12     -155.946036
           8.14     -162.713567
           8.16      116.078528
           8.18     -28.1637135
            8.2      309.146307
           8.22      79.4612733
           8.24        65.58978
           8.26      20.7539621
           8.28      32.9618029
            8.3     -4.00673901
           8.32     -398.618149
           8.34      -165.56143
           8.36      186.370079
           8.38      109.233655
            8.4     -82.8298529
           8.42      -171.63477
           8.44     -273.420253
           8.46     -48.3652697
           8.48     -270.359357
            8.5     -382.056621
           8.52     -358.344901
           8.54     -354.984219
           8.56     -782.662398
           8.58     -419.115485
            8.6     -127.080289
           8.62      251.270924
           8.64      227.009763
           8.66      557.236061
           8.68      399.011106
            8.7      319.270735
           8.72      602.912936
           8.74       198.38779
           8.76     -106.670923
           8.78      79.2169971
            8.8     -90.9647026
           8.82     -184.322768
           8.84     -277.877889
           8.86     -140.806882
           8.88     -58.9588285
