#          time       solutemp2
              0      348.927278
           0.02      396.209393
           0.04      413.480865
           0.06      226.487621
           0.08      443.705529
            0.1      392.183989
           0.12       226.19954
           0.14      250.453046
           0.16      367.158268
           0.18      262.080226
            0.2      119.791459
           0.22      213.863327
           0.24      144.971253
           0.26      171.734184
           0.28      160.671585
            0.3      296.768054
           0.32      341.691732
           0.34      444.136253
           0.36      337.884621
           0.38       255.70518
            0.4      160.746704
           0.42      244.619951
           0.44      160.833113
           0.46      335.278208
           0.48       312.51898
            0.5      280.651833
           0.52      467.810088
           0.54      419.514771
           0.56      326.211475
           0.58      314.979167
            0.6       267.60627
           0.62      366.142201
           0.64      168.371379
           0.66      234.050265
           0.68      230.845496
            0.7      333.733413
           0.72      504.960444
           0.74      554.742843
           0.76      794.398633
           0.78      574.733988
            0.8      505.204502
           0.82      470.269698
           0.84      370.638864
           0.86      304.943117
           0.88      226.624408
            0.9      319.048064
           0.92      245.326556
           0.94       364.04245
           0.96       389.94608
           0.98      435.969869
              1      266.642703
           1.02       276.46837
           1.04       184.10183
           1.06      73.9051624
           1.08      209.811186
            1.1      229.816041
           1.12      195.096207
           1.14      261.271831
           1.16      199.451211
           1.18      243.721308
            1.2      342.384783
           1.22      379.495384
           1.24      368.492479
           1.26      373.854285
           1.28      675.250053
            1.3      308.026135
           1.32      345.517203
           1.34      308.002418
           1.36      335.302243
           1.38      357.193027
            1.4      270.300555
           1.42      271.121919
           1.44      268.831919
           1.46      210.419659
           1.48      373.019952
            1.5      362.320077
           1.52      305.223037
           1.54      312.221044
           1.56      392.129475
           1.58      259.113572
            1.6      326.507881
           1.62      179.794641
           1.64      187.370558
           1.66      184.997996
           1.68      354.093866
            1.7      309.503056
           1.72       277.28187
           1.74      261.450151
           1.76       258.83579
           1.78      156.789533
            1.8      200.190393
           1.82      128.702492
           1.84      159.487922
           1.86      162.159431
           1.88      158.807863
            1.9      314.569502
           1.92      411.215759
           1.94      452.678924
           1.96      509.989614
           1.98      574.906677
              2       345.84582
           2.02      175.000055
           2.04      96.3220077
           2.06      256.910311
           2.08      181.937047
            2.1       196.84092
           2.12      164.212158
           2.14      244.597433
           2.16      283.034066
           2.18      144.140691
            2.2      224.992028
           2.22      223.765676
           2.24      384.831976
           2.26      439.960972
           2.28      275.493085
            2.3      293.960169
           2.32      229.613829
           2.34       246.58283
           2.36      276.881957
           2.38      286.268937
            2.4      248.779829
           2.42      304.155499
           2.44      248.810476
           2.46      515.756587
           2.48      534.800658
            2.5      705.596157
           2.52      444.936435
           2.54      473.468318
           2.56      368.485449
           2.58      351.175393
            2.6      358.171787
           2.62      118.487239
           2.64      157.713367
           2.66      133.118473
           2.68      185.865232
            2.7      134.472819
           2.72       152.78821
           2.74      146.214455
           2.76      285.044218
           2.78       284.97237
            2.8      292.234913
           2.82      419.160711
           2.84      366.384542
           2.86      310.126645
           2.88      302.942925
            2.9      362.921399
           2.92      239.003705
           2.94       256.56643
           2.96      266.690243
           2.98      503.608303
              3      667.621692
           3.02      657.184817
           3.04      655.092588
           3.06      758.414819
           3.08      690.617264
            3.1      327.798727
           3.12      571.899024
           3.14      332.629258
           3.16      462.199802
           3.18      390.072435
            3.2      319.989629
           3.22      513.402218
           3.24      383.525902
           3.26      383.795859
           3.28      287.533399
            3.3      385.378124
           3.32        341.6452
           3.34      238.469393
           3.36      257.013539
           3.38      303.678574
            3.4      184.086785
           3.42      230.971298
           3.44      230.538545
           3.46       258.03596
           3.48       296.45546
            3.5      208.020715
           3.52      301.794668
           3.54      208.483514
           3.56      111.523588
           3.58      300.271671
            3.6       343.23179
           3.62      323.163611
           3.64      394.910512
           3.66      437.741035
           3.68      275.295157
            3.7      506.742129
           3.72      289.835275
           3.74      291.445673
           3.76      428.585618
           3.78       192.61801
            3.8      344.049192
           3.82      440.897338
           3.84      227.342363
           3.86      278.721757
           3.88      266.065132
            3.9      392.506193
           3.92      285.519917
           3.94      364.519311
           3.96      412.744985
           3.98        291.3438
              4      341.977756
           4.02      324.766767
           4.04      192.529797
           4.06      272.629007
           4.08      328.776324
            4.1      281.172246
           4.12      166.064748
           4.14      214.255438
           4.16      308.367708
           4.18      213.437151
            4.2      113.509772
           4.22      327.259347
           4.24      238.620381
           4.26       226.47169
