#          time       solvtemp2
              0      302.149851
           0.02      307.921599
           0.04      307.830273
           0.06      302.761707
           0.08      301.527815
            0.1      301.935297
           0.12      299.259639
           0.14      306.583445
           0.16      302.766923
           0.18      300.004199
            0.2      300.782873
           0.22      305.538184
           0.24      296.155618
           0.26       302.07594
           0.28      298.572053
            0.3      300.459331
           0.32      295.308409
           0.34      293.826387
           0.36      299.881097
           0.38      298.120357
            0.4      303.323738
           0.42      302.533407
           0.44      301.037885
           0.46       300.01499
           0.48      299.062783
            0.5      302.872152
           0.52      298.365123
           0.54      298.888701
           0.56      308.248752
           0.58       306.41313
            0.6      302.607591
           0.62      310.490614
           0.64      306.549167
           0.66      305.228974
           0.68      308.546375
            0.7      310.495122
           0.72      304.836155
           0.74      305.358273
           0.76      309.270242
           0.78      311.068882
            0.8      299.702262
           0.82      300.915666
           0.84       302.29051
           0.86      304.393946
           0.88      302.522073
            0.9      307.970374
           0.92      302.943535
           0.94        305.9331
           0.96      303.092858
           0.98      306.532676
              1      308.073002
           1.02      298.512499
           1.04      301.808705
           1.06      302.399319
           1.08      293.982523
            1.1      300.088463
           1.12      299.294442
           1.14        303.2203
           1.16      295.337292
           1.18      299.732997
            1.2       301.34333
           1.22      296.867047
           1.24      292.176818
           1.26      289.206752
           1.28      292.040747
            1.3      299.871861
           1.32      298.412141
           1.34      303.910766
           1.36      305.369949
           1.38       309.69888
            1.4      308.388515
           1.42      300.376244
           1.44      304.892986
           1.46      299.834579
           1.48      300.077818
            1.5      301.293853
           1.52      298.055273
           1.54      298.743113
           1.56      298.939363
           1.58      301.504777
            1.6      302.964099
           1.62      305.501538
           1.64      302.829185
           1.66      300.430169
           1.68      300.445172
            1.7      301.399563
           1.72      302.354193
           1.74      298.785166
           1.76      296.577954
           1.78       297.41982
            1.8      300.968292
           1.82      287.681818
           1.84      289.454697
           1.86      288.310245
           1.88      293.467937
            1.9       293.95714
           1.92      301.959629
           1.94      297.925126
           1.96       301.94653
           1.98      300.023135
              2      302.203179
           2.02       299.57844
           2.04      302.447467
           2.06      302.972497
           2.08      300.068083
            2.1      307.100685
           2.12      310.969634
           2.14      301.793361
           2.16      303.588852
           2.18      300.440549
            2.2      306.201363
           2.22      303.743124
           2.24      299.846862
           2.26      292.970005
           2.28      297.425686
            2.3      293.912688
           2.32       294.13358
           2.34      284.220204
           2.36      288.871659
           2.38      294.363986
            2.4      293.740587
           2.42         294.587
           2.44      299.062613
           2.46      305.447407
           2.48      300.144644
            2.5      292.091546
           2.52      297.837989
           2.54      301.963574
           2.56      299.401045
           2.58      299.344376
            2.6      298.334413
           2.62      304.774467
           2.64      300.928994
           2.66      305.293269
           2.68      305.544765
            2.7      296.813352
           2.72      304.731059
           2.74      297.664815
           2.76      298.704292
           2.78      299.454079
            2.8      296.881284
           2.82      303.400909
           2.84      295.274065
           2.86       300.05952
           2.88      299.498428
            2.9      298.369487
           2.92      303.820673
           2.94      296.557363
           2.96      301.553913
           2.98      301.526278
              3      303.310623
           3.02      300.335324
           3.04      306.294756
           3.06      303.336852
           3.08      304.122203
            3.1      314.688709
           3.12      311.315686
           3.14      312.902837
           3.16      316.761646
           3.18      307.603922
            3.2       315.11359
           3.22      307.833777
           3.24      303.759021
           3.26      299.577503
           3.28      301.140414
            3.3      299.227916
           3.32       300.76332
           3.34      299.899314
           3.36      292.159778
           3.38      301.246843
            3.4        297.7106
           3.42      304.905145
           3.44      303.999748
           3.46      298.953408
           3.48      303.187361
            3.5      302.391659
           3.52      305.820519
           3.54      299.775105
           3.56      298.980471
           3.58      293.885388
            3.6      300.307781
           3.62      293.929135
           3.64      298.942462
           3.66       295.06029
           3.68      292.169639
            3.7       288.83438
           3.72      294.682438
           3.74      291.685645
           3.76      295.712809
           3.78      291.170576
            3.8      303.025383
           3.82      302.749776
           3.84      303.556328
           3.86      306.047076
           3.88      296.866627
            3.9      301.667982
           3.92      302.862487
           3.94      300.382034
           3.96      303.481157
           3.98      303.783961
              4      297.109159
           4.02      299.363017
           4.04      297.011664
           4.06      297.358692
           4.08       305.23106
            4.1      300.696106
           4.12      301.990829
           4.14      300.411863
           4.16      300.389915
           4.18      299.198768
            4.2      298.979767
           4.22      297.306783
           4.24      290.205972
           4.26      298.263491
           4.28      297.418167
            4.3      300.455534
           4.32      296.823649
           4.34      292.011083
           4.36      301.889653
           4.38      301.385047
            4.4      305.040131
           4.42       299.52631
           4.44      303.940564
           4.46      298.557963
           4.48      288.136337
            4.5      292.598994
           4.52      288.544748
           4.54      297.704268
           4.56      298.393556
           4.58      298.463892
            4.6      297.476016
           4.62      295.984338
           4.64      298.849621
           4.66      298.726699
           4.68      299.157099
            4.7      301.347482
           4.72      304.365734
           4.74       299.75186
           4.76      303.864454
           4.78      304.029284
            4.8      301.015974
           4.82      304.352885
           4.84      296.252365
           4.86      293.775909
           4.88      293.970511
            4.9      296.392654
           4.92      295.565061
           4.94      302.261546
           4.96      295.993806
           4.98      292.356636
              5      293.224702
           5.02      301.139764
           5.04       301.65681
           5.06      303.663666
           5.08      305.633504
            5.1      308.801183
           5.12      310.225367
           5.14      305.232327
           5.16      307.403167
           5.18      307.853265
            5.2      295.156246
           5.22      300.283469
           5.24      304.661794
           5.26      305.656105
           5.28      300.870999
            5.3      295.213068
           5.32      307.833013
           5.34      295.675652
           5.36      303.064207
           5.38      299.496996
            5.4       295.91375
           5.42      302.776427
           5.44      300.284822
           5.46        297.9133
           5.48      296.075034
            5.5      303.133692
           5.52      304.360117
           5.54      303.439385
           5.56      296.768607
           5.58      303.240984
            5.6      296.116498
           5.62      298.016014
           5.64      303.774923
           5.66      297.446837
           5.68      300.638784
            5.7      301.304224
           5.72      297.635015
           5.74      293.010377
           5.76      299.967131
           5.78      303.337325
            5.8       298.55817
           5.82      304.249058
           5.84      308.015264
           5.86      297.431733
           5.88      305.787611
            5.9      306.090415
           5.92      295.807206
           5.94      294.436698
           5.96      295.092356
           5.98      293.401014
              6      295.132595
           6.02       295.58124
           6.04       294.92008
           6.06      296.858448
           6.08      287.155017
            6.1      293.151762
           6.12      295.666434
           6.14      299.825397
           6.16      301.520151
           6.18      302.885562
            6.2      299.822228
           6.22       299.02198
           6.24      301.247205
           6.26      301.655446
           6.28      301.152001
            6.3      303.443476
           6.32       302.39168
           6.34      305.781283
           6.36      298.425046
           6.38       299.83277
            6.4      301.476134
           6.42      302.108974
           6.44      300.514278
           6.46      300.611562
           6.48      296.866323
            6.5      299.372941
           6.52      300.342548
           6.54      293.774311
           6.56      294.601982
           6.58      289.335526
            6.6      293.666672
           6.62      297.950192
           6.64      298.509087
           6.66      302.292551
           6.68      299.811356
            6.7      302.203346
           6.72      297.497132
           6.74      296.971188
           6.76      302.901182
           6.78      302.269505
            6.8      300.694638
           6.82      311.558118
           6.84      305.392066
           6.86      313.211024
           6.88      299.642719
            6.9      306.766826
           6.92      301.360206
           6.94      297.238462
           6.96      296.456576
           6.98      298.935128
              7      294.260084
           7.02      297.351768
           7.04      295.423142
           7.06      295.748405
           7.08      286.005643
            7.1      290.770796
           7.12       286.76869
           7.14      289.909743
           7.16      292.089331
           7.18      287.816574
            7.2      294.109434
           7.22      299.582366
           7.24      296.028366
