#          time          totene
              0     -39495.6475
           0.02     -39507.3424
           0.04     -39524.7049
           0.06     -39551.9847
           0.08     -39595.2565
            0.1     -39661.4012
           0.12     -39730.0663
           0.14     -39812.4212
           0.16     -39877.9225
           0.18     -39943.1449
            0.2     -39986.0723
           0.22      -40006.772
           0.24     -40023.6429
           0.26      -40039.776
           0.28     -40039.5708
            0.3     -40029.4908
           0.32     -40019.9131
           0.34     -39998.9834
           0.36     -39981.3207
           0.38     -39963.7427
            0.4     -39914.1089
           0.42     -39888.3335
           0.44     -39860.3575
           0.46      -39835.248
           0.48     -39810.2816
            0.5     -39753.6057
           0.52      -39675.258
           0.54     -39604.7633
           0.56     -39523.7761
           0.58     -39442.3976
            0.6     -39362.5831
           0.62     -39310.4869
           0.64     -39267.3938
           0.66     -39227.3073
           0.68     -39188.3373
            0.7     -39142.2719
           0.72     -39115.4563
           0.74     -39112.3423
           0.76     -39123.8275
           0.78     -39152.3152
            0.8      -39223.815
           0.82     -39300.4687
           0.84     -39394.6172
           0.86     -39472.5135
           0.88     -39545.3893
            0.9     -39607.7521
           0.92      -39653.015
           0.94     -39694.4322
           0.96     -39742.7668
           0.98     -39814.2994
              1      -39889.419
           1.02     -39949.2159
           1.04     -39989.4694
           1.06      -40027.937
           1.08     -40065.6202
            1.1     -40092.2018
           1.12     -40121.7479
           1.14     -40143.6559
           1.16     -40167.5776
           1.18     -40190.8073
            1.2     -40211.9126
           1.22      -40228.019
           1.24     -40215.0803
           1.26     -40189.0721
           1.28     -40133.6283
            1.3     -40059.7865
           1.32     -39962.2559
           1.34     -39832.7266
           1.36     -39722.2132
           1.38     -39641.9708
            1.4     -39601.8302
           1.42     -39588.1463
           1.44     -39576.6106
           1.46     -39581.1691
           1.48      -39587.599
            1.5     -39595.4256
           1.52     -39602.5597
           1.54     -39618.2335
           1.56     -39626.5967
           1.58     -39630.7825
            1.6     -39622.7102
           1.62     -39620.3379
           1.64     -39628.9351
           1.66     -39647.5511
           1.68     -39689.1872
            1.7     -39728.9791
           1.72     -39805.2933
           1.74     -39909.7655
           1.76      -40012.112
           1.78     -40083.3504
            1.8      -40147.626
           1.82     -40198.9816
           1.84     -40198.9442
           1.86     -40179.6828
           1.88     -40159.1642
            1.9     -40097.1303
           1.92     -40028.3679
           1.94     -39972.4442
           1.96     -39906.7981
           1.98     -39844.4849
              2     -39792.0124
           2.02     -39761.9382
           2.04     -39713.9311
           2.06      -39682.065
           2.08     -39658.6363
            2.1     -39645.5488
           2.12     -39637.1804
           2.14     -39646.6419
           2.16     -39660.4202
           2.18     -39684.5202
            2.2     -39698.1205
           2.22     -39743.6276
           2.24     -39809.2825
           2.26     -39895.7789
           2.28     -39982.1286
            2.3      -40067.054
           2.32     -40132.3947
           2.34     -40180.6881
           2.36     -40183.4849
           2.38     -40187.0188
            2.4     -40161.6952
           2.42     -40136.5397
           2.44     -40119.7744
           2.46     -40105.6589
           2.48     -40084.3782
            2.5      -40085.554
           2.52     -40055.9156
           2.54     -40026.8085
           2.56     -40008.7116
           2.58     -39984.3874
            2.6      -39962.075
           2.62     -39944.6718
           2.64     -39916.1182
           2.66     -39908.6318
           2.68      -39905.802
            2.7     -39917.5124
           2.72     -39916.0808
           2.74     -39923.0226
           2.76     -39927.0519
           2.78     -39911.3771
            2.8     -39906.3053
           2.82     -39891.3874
           2.84     -39871.6532
           2.86     -39858.1333
           2.88     -39836.1563
            2.9     -39816.6259
           2.92     -39799.7417
           2.94     -39771.5437
           2.96     -39749.2934
           2.98     -39723.0424
              3      -39667.356
           3.02     -39602.8074
           3.04     -39543.8845
           3.06     -39485.6276
           3.08     -39411.3465
            3.1     -39355.4672
           3.12     -39319.6176
           3.14     -39307.4194
           3.16       -39311.39
           3.18     -39355.5276
            3.2     -39434.9634
           3.22      -39535.995
           3.24     -39642.9576
           3.26     -39724.9215
           3.28     -39765.5989
            3.3     -39815.4984
           3.32      -39851.922
           3.34     -39862.1358
           3.36     -39871.5327
           3.38     -39873.2378
            3.4     -39877.8551
           3.42     -39866.2954
           3.44     -39866.7296
           3.46     -39864.2474
           3.48     -39874.4499
            3.5     -39903.2276
           3.52     -39926.1139
           3.54     -39968.4444
           3.56     -40028.1754
           3.58     -40078.7511
            3.6     -40128.6471
           3.62     -40203.8594
           3.64     -40255.7447
           3.66     -40302.2177
           3.68     -40326.4808
            3.7     -40338.6997
           3.72     -40334.8999
           3.74     -40309.6587
           3.76     -40276.7942
           3.78     -40200.3416
            3.8     -40106.0892
           3.82     -40023.3697
           3.84     -39971.0303
           3.86     -39920.2002
           3.88     -39884.1071
            3.9     -39846.6304
           3.92     -39831.0227
           3.94     -39827.8613
           3.96     -39845.2125
           3.98     -39860.5385
              4     -39865.2424
           4.02      -39872.805
           4.04     -39878.8083
           4.06     -39876.6703
           4.08     -39863.5062
            4.1     -39877.7175
           4.12     -39898.3284
           4.14     -39916.5671
           4.16     -39932.4364
           4.18     -39973.5796
            4.2     -40017.6468
           4.22     -40062.0376
           4.24     -40115.7467
           4.26     -40162.6005
           4.28     -40224.1461
            4.3     -40287.9982
           4.32     -40346.7795
           4.34     -40390.1913
           4.36     -40420.1359
           4.38     -40449.5463
            4.4     -40490.1285
           4.42     -40547.5433
           4.44     -40608.8559
           4.46     -40654.9431
           4.48     -40694.2629
            4.5     -40724.8902
           4.52     -40734.4528
           4.54     -40707.8253
           4.56     -40671.3029
           4.58     -40624.6047
            4.6     -40554.1782
           4.62     -40467.8895
           4.64     -40374.7871
           4.66     -40269.8718
           4.68     -40191.1074
            4.7      -40131.355
           4.72     -40095.5019
           4.74     -40068.6823
           4.76     -40054.1459
           4.78     -40038.4602
            4.8     -40037.1715
           4.82     -40056.8835
           4.84     -40066.2702
           4.86     -40078.9206
           4.88      -40074.181
            4.9     -40051.3539
           4.92     -40036.2479
           4.94     -40015.9639
           4.96     -39997.1962
           4.98     -39963.1244
              5     -39887.0978
           5.02     -39786.0794
           5.04     -39672.0742
           5.06      -39574.639
           5.08     -39512.8365
            5.1     -39478.6417
           5.12     -39472.5837
           5.14     -39477.4771
           5.16     -39500.5488
           5.18     -39538.7758
            5.2     -39592.3625
           5.22     -39618.6932
           5.24     -39661.3601
           5.26     -39711.1712
           5.28     -39773.7034
            5.3     -39833.3778
           5.32     -39882.8869
           5.34     -39931.6499
           5.36     -39972.1185
           5.38     -40010.6846
            5.4     -40027.0689
           5.42     -40056.5782
           5.44     -40078.0023
           5.46     -40088.2601
           5.48     -40097.0151
            5.5     -40082.6111
           5.52     -40084.0757
           5.54     -40104.2995
           5.56     -40114.7042
           5.58     -40109.2657
            5.6     -40111.0688
           5.62     -40109.9748
           5.64      -40090.311
           5.66     -40066.2524
           5.68     -40055.7808
            5.7     -40048.8003
           5.72     -40032.9993
           5.74     -40037.7976
           5.76     -40021.0613
           5.78     -40014.2061
            5.8     -40005.6035
           5.82     -39989.3988
           5.84     -39974.4024
           5.86     -39983.7249
           5.88     -40005.9079
            5.9     -40027.5291
           5.92     -40062.4917
           5.94     -40097.7507
           5.96     -40139.7263
           5.98     -40176.4476
              6     -40233.9994
           6.02     -40266.9171
           6.04     -40283.3266
           6.06     -40288.2541
           6.08     -40279.7782
            6.1     -40238.6177
           6.12     -40182.9235
           6.14     -40100.0544
           6.16     -40029.0827
           6.18     -39984.9313
            6.2     -39935.0423
           6.22     -39890.9266
           6.24     -39859.1324
           6.26     -39822.3356
           6.28     -39791.9116
            6.3      -39780.491
           6.32      -39773.018
           6.34     -39778.8379
           6.36     -39793.0062
           6.38     -39810.4494
            6.4     -39826.6294
           6.42     -39857.7152
           6.44      -39893.084
           6.46     -39924.4739
