#          time          totkin
              0      8825.36543
           0.02      8996.14407
           0.04      8994.41528
           0.06      8836.58442
           0.08      8812.35541
            0.1      8821.44875
           0.12      8734.49693
           0.14      8949.26815
           0.16      8844.33556
           0.18      8758.13632
            0.2      8773.14516
           0.22      8916.82617
           0.24      8639.63856
           0.26      8813.63911
           0.28      8710.91657
            0.3      8773.27552
           0.32       8625.5726
           0.34      8587.91141
           0.36      8758.64336
           0.38      8702.88512
            0.4      8849.41411
           0.42      8830.90988
           0.44      8782.79488
           0.46      8762.40504
           0.48      8733.42236
            0.5      8842.72945
           0.52      8721.47715
           0.54       8734.1285
           0.56      9001.89802
           0.58      8947.78986
            0.6      8834.31379
           0.62      9069.39681
           0.64      8943.83497
           0.66       8908.9044
           0.68      9005.42084
            0.7      9067.77746
           0.72      8912.08994
           0.74      8929.99697
           0.76      9056.96229
           0.78      9097.51939
            0.8      8762.46973
           0.82      8795.94861
           0.84      8830.63798
           0.86      8888.39617
           0.88      8829.60738
            0.9      8993.39739
           0.92       8842.9017
           0.94      8936.44923
           0.96      8855.06634
           0.98      8957.81015
              1      8993.55763
           1.02      8715.43621
           1.04      8806.51835
           1.06       8817.7796
           1.08       8579.8038
            1.1      8758.84937
           1.12      8733.83107
           1.14      8851.82973
           1.16      8618.73051
           1.18      8749.24005
            1.2      8801.50498
           1.22      8673.04313
           1.24      8535.74645
           1.26      8449.47001
           1.28      8548.35171
            1.3       8756.7612
           1.32      8716.24121
           1.34      8874.47859
           1.36      8918.48296
           1.38      9045.83736
            1.4      9002.95123
           1.42      8769.46843
           1.44      8900.99055
           1.46      8750.40181
           1.48      8766.27506
            1.5      8801.13982
           1.52      8703.66316
           1.54      8724.08911
           1.56      8734.12573
           1.58      8801.71219
            1.6      8847.88654
           1.62      8913.91767
           1.64      8836.43801
           1.66      8766.38768
           1.68      8775.95963
            1.7      8801.36767
           1.72      8827.45089
           1.74       8722.5721
           1.76      8658.09908
           1.78      8677.12364
            1.8      8782.89263
           1.82      8391.78075
           1.84      8445.11644
           1.86      8411.90435
           1.88      8562.05035
            1.9      8584.72309
           1.92      8823.18604
           1.94       8707.8355
           1.96      8828.14007
           1.98      8775.58729
              2      8826.75328
           2.02      8741.02293
           2.04      8820.39389
           2.06      8844.37161
           2.08      8755.66891
            2.1      8961.44755
           2.12      9072.45004
           2.14      8809.33913
           2.16      8863.74722
           2.18      8764.48309
            2.2       8936.7565
           2.22      8865.04195
