#          time          totpot
              0     -48321.0129
           0.02     -48503.4865
           0.04     -48519.1202
           0.06     -48388.5692
           0.08     -48407.6119
            0.1       -48482.85
           0.12     -48464.5633
           0.14     -48761.6893
           0.16      -48722.258
           0.18     -48701.2812
            0.2     -48759.2175
           0.22     -48923.5982
           0.24     -48663.2814
           0.26     -48853.4151
           0.28     -48750.4874
            0.3     -48802.7663
           0.32     -48645.4857
           0.34     -48586.8949
           0.36      -48739.964
           0.38     -48666.6278
            0.4      -48763.523
           0.42     -48719.2434
           0.44     -48643.1524
           0.46     -48597.6531
           0.48      -48543.704
            0.5     -48596.3351
           0.52     -48396.7352
           0.54     -48338.8918
           0.56     -48525.6741
           0.58     -48390.1874
            0.6     -48196.8969
           0.62     -48379.8837
           0.64     -48211.2288
           0.66     -48136.2117
           0.68     -48193.7582
            0.7     -48210.0494
           0.72     -48027.5463
           0.74     -48042.3393
           0.76     -48180.7898
           0.78     -48249.8345
            0.8     -47986.2847
           0.82     -48096.4173
           0.84     -48225.2552
           0.86     -48360.9097
           0.88     -48374.9967
            0.9     -48601.1495
           0.92     -48495.9167
           0.94     -48630.8815
           0.96     -48597.8331
           0.98     -48772.1096
              1     -48882.9766
           1.02     -48664.6521
           1.04     -48795.9878
           1.06     -48845.7166
           1.08      -48645.424
            1.1     -48851.0511
           1.12      -48855.579
           1.14     -48995.4856
           1.16     -48786.3081
           1.18     -48940.0474
            1.2     -49013.4176
           1.22     -48901.0622
           1.24     -48750.8268
           1.26     -48638.5421
           1.28       -48681.98
            1.3     -48816.5477
           1.32     -48678.4971
           1.34     -48707.2052
           1.36     -48640.6962
           1.38     -48687.8082
            1.4     -48604.7815
           1.42     -48357.6147
           1.44     -48477.6012
           1.46      -48331.571
           1.48     -48353.8741
            1.5     -48396.5655
           1.52     -48306.2228
           1.54     -48342.3226
           1.56     -48360.7224
           1.58     -48432.4947
            1.6     -48470.5968
           1.62     -48534.2556
           1.64     -48465.3731
           1.66     -48413.9388
           1.68     -48465.1468
            1.7     -48530.3467
           1.72     -48632.7442
           1.74     -48632.3376
           1.76     -48670.2111
           1.78     -48760.4741
            1.8     -48930.5186
           1.82     -48590.7624
           1.84     -48644.0606
           1.86     -48591.5871
           1.88     -48721.2145
            1.9     -48681.8533
           1.92     -48851.5539
           1.94     -48680.2796
           1.96     -48734.9382
           1.98     -48620.0722
              2     -48618.7657
           2.02     -48502.9611
           2.04      -48534.325
           2.06     -48526.4366
           2.08     -48414.3052
            2.1     -48606.9964
           2.12     -48709.6304
           2.14      -48455.981
           2.16     -48524.1675
           2.18     -48449.0033
            2.2      -48634.877
           2.22     -48608.6695
           2.24     -48569.4642
           2.26     -48458.5046
           2.28     -48665.8357
            2.3     -48649.3682
           2.32      -48717.671
           2.34      -48477.944
           2.36     -48617.9497
           2.38     -48782.0711
            2.4     -48736.5526
           2.42     -48739.0583
           2.44     -48849.7503
           2.46     -49036.1478
           2.48     -48861.3404
            2.5     -48637.0257
           2.52     -48760.7932
           2.54     -48853.4724
           2.56     -48755.0163
           2.58     -48728.1053
            2.6     -48676.7343
           2.62     -48834.0863
           2.64     -48695.5708
           2.66     -48813.9578
           2.68     -48821.3075
            2.7     -48575.7542
           2.72      -48806.083
           2.74     -48606.7156
