#          time           totqm
              0     -80.6472448
           0.02     -79.7324577
           0.04     -72.7492793
           0.06     -53.8610755
           0.08     -67.6413227
            0.1     -79.1889083
           0.12     -73.4564337
           0.14     -75.1363925
           0.16     -88.6403042
           0.18     -54.4677814
            0.2     -57.3729707
           0.22     -72.6285127
           0.24     -60.8693442
           0.26     -60.7635806
           0.28       -66.81973
            0.3     -74.6893335
           0.32     -52.1757939
           0.34     -51.4524712
           0.36     -53.5482539
           0.38     -50.6746428
            0.4     -45.9952468
           0.42     -45.9665894
           0.44     -31.1605963
           0.46     -54.8473825
           0.48     -48.1061682
            0.5     -48.1725807
           0.52     -62.6485944
           0.54     -56.4272996
           0.56     -50.1962529
           0.58     -55.3172733
            0.6     -49.0053538
           0.62     -62.2118859
           0.64     -45.2932077
           0.66     -23.2317947
           0.68     -41.1350002
            0.7      -37.136639
           0.72     -36.5897858
           0.74     -41.6468118
           0.76     -50.8418311
           0.78     -24.3620512
            0.8      -38.771014
           0.82     -32.6681078
           0.84     -40.3060098
           0.86     -47.9801506
           0.88     -46.9565275
            0.9     -50.1419945
           0.92     -51.4723343
           0.94     -57.2378914
           0.96     -49.7362977
           0.98      -69.841225
              1     -43.7274717
           1.02     -55.0829224
           1.04     -48.7890944
           1.06      -39.713078
           1.08     -57.3578958
            1.1     -54.5912932
           1.12     -37.8633294
           1.14     -49.7683308
           1.16     -42.3881381
           1.18     -38.9213079
            1.2     -32.7697534
           1.22     -39.1106736
           1.24     -44.5083726
           1.26     -33.3446696
           1.28     -50.4591535
            1.3     -36.0911418
           1.32     -58.2236198
           1.34     -44.3898245
           1.36     -33.9127825
           1.38     -35.3380963
            1.4     -49.7797666
           1.42     -42.8862634
           1.44     -50.1446041
           1.46     -64.1074736
           1.48     -86.8145605
            1.5     -83.8778168
           1.52     -82.9533735
           1.54     -73.5070291
           1.56     -74.5039899
           1.58     -74.3267624
            1.6      -82.485374
           1.62     -77.1659143
           1.64     -77.2908147
